quantization,block,prefill_us,decode_us
Q4_0,blk.0,4464,478
Q4_0,blk.1,4434,498
Q4_0,blk.2,4420,472
Q4_0,blk.3,4437,507
Q4_0,blk.4,4438,488
Q4_0,blk.5,4461,453
Q4_0,blk.6,4425,451
Q4_0,blk.7,4450,471
Q4_0,blk.8,4511,468
Q4_0,blk.9,4426,454
Q4_0,blk.10,4436,484
Q4_0,blk.11,4444,489
Q4_0,blk.12,4432,492
Q4_0,blk.13,4451,487
Q4_0,blk.14,4469,479
Q4_0,blk.15,4435,493
Q4_0,blk.16,4453,456
Q4_0,blk.17,4438,486
Q4_0,blk.18,4442,497
Q4_0,blk.19,4424,514
Q4_0,blk.20,4432,512
Q4_0,blk.21,4456,528
Q4_0,blk.22,4454,541
Q4_0,blk.23,4437,539
Q4_0,blk.24,4461,535
Q4_0,blk.25,4439,528
Q4_0,blk.26,4427,526
Q4_0,blk.27,4451,509
Q4_0,blk.28,4516,519
Q4_0,blk.29,1192,290
Q4_0,,11755,632
Q8_0,blk.0,4771,912
Q8_0,blk.1,4748,821
Q8_0,blk.2,4741,836
Q8_0,blk.3,4756,875
Q8_0,blk.4,4753,841
Q8_0,blk.5,4731,788
Q8_0,blk.6,4740,867
Q8_0,blk.7,4784,815
Q8_0,blk.8,4765,903
Q8_0,blk.9,4765,849
Q8_0,blk.10,4769,875
Q8_0,blk.11,4773,886
Q8_0,blk.12,4791,894
Q8_0,blk.13,4777,914
Q8_0,blk.14,4806,922
Q8_0,blk.15,4825,922
Q8_0,blk.16,4837,931
Q8_0,blk.17,4793,884
Q8_0,blk.18,4805,938
Q8_0,blk.19,4804,929
Q8_0,blk.20,4792,924
Q8_0,blk.21,4768,898
Q8_0,blk.22,4785,878
Q8_0,blk.23,4768,896
Q8_0,blk.24,4754,902
Q8_0,blk.25,4771,898
Q8_0,blk.26,4774,916
Q8_0,blk.27,4777,881
Q8_0,blk.28,4807,879
Q8_0,blk.29,1284,457
Q8_0,,11633,811
