run_config,quantization,execution_mode,node_index,op_type,node_name,assigned_backend,weight_tensor,weight_backend,src_tensors,block_index,logical_layer,tensor_role,executed_backend_hint
Q4_0_CPU,Q4_0,CPU,0,GET_ROWS,embd,CPU,token_embd.weight,CPU,token_embd.weight;inp_tokens,,embedding,token_embd,CPU
Q4_0_CPU,Q4_0,CPU,1,MUL_MAT,Qcur-0,CPU,blk.0.attn_q.weight,CPU,blk.0.attn_q.weight;embd,0,blk.0,attn_q,CPU
Q4_0_CPU,Q4_0,CPU,3,RMS_NORM,norm-0,CPU,,,Qcur-0,0,blk.0,norm,CPU
Q4_0_CPU,Q4_0,CPU,4,MUL,Qcur_normed-0,CPU,,,norm-0;blk.0.attn_q_norm.we,0,blk.0,attn_q,CPU
Q4_0_CPU,Q4_0,CPU,5,ROPE,Qcur-0,CPU,rope_freqs.weight,CPU,Qcur_normed-0;leaf_5;rope_freqs.weight,,rope_freqs.weight,other,CPU
Q4_0_CPU,Q4_0,CPU,6,MUL_MAT,Vcur-0,CPU,blk.0.attn_v.weight,CPU,blk.0.attn_v.weight;embd,0,blk.0,attn_v,CPU
Q4_0_CPU,Q4_0,CPU,8,MUL_MAT,Kcur-0,CPU,blk.0.attn_k.weight,CPU,blk.0.attn_k.weight;embd,0,blk.0,attn_k,CPU
Q4_0_CPU,Q4_0,CPU,11,MUL,Kcur_normed-0,CPU,,,norm-0;blk.0.attn_k_norm.we,0,blk.0,attn_k,CPU
Q4_0_CPU,Q4_0,CPU,12,ROPE,Kcur-0,CPU,rope_freqs.weight,CPU,Kcur_normed-0;leaf_5;rope_freqs.weight,,rope_freqs.weight,other,CPU
Q4_0_CPU,Q4_0,CPU,23,FLASH_ATTN,__fattn__-0,CPU,,,(permu;(p;(p;attn_inp_kq_mask,0,blk.0,other,CPU
Q4_0_CPU,Q4_0,CPU,25,MUL_MAT,attn_out-0,CPU,,,blk.0.attn_output.we;kqv_out-0,0,blk.0,attn_output,CPU
Q4_0_CPU,Q4_0,CPU,27,MUL,attn_post_norm-0,CPU,,,norm-0;blk.0.post_attention,0,blk.0,norm,CPU
Q4_0_CPU,Q4_0,CPU,28,ADD,ffn_inp-0,CPU,,,attn_post_norm-0;embd,0,blk.0,other,CPU
Q4_0_CPU,Q4_0,CPU,29,MUL_MAT,ffn_gate-0,CPU,,,blk.0.ffn_gate.weigh;ffn_inp-0,0,blk.0,ffn_gate,CPU
Q4_0_CPU,Q4_0,CPU,30,MUL_MAT,ffn_up-0,CPU,blk.0.ffn_up.weight,CPU,blk.0.ffn_up.weight;ffn_inp-0,0,blk.0,ffn_up,CPU
Q4_0_CPU,Q4_0,CPU,31,SWIGLU,ffn_swiglu-0,CPU,,,ffn_gate-0;ffn_up-0,0,blk.0,ffn_down,CPU
Q4_0_CPU,Q4_0,CPU,32,MUL_MAT,ffn_out-0,CPU,,,blk.0.ffn_down.weigh;ffn_swiglu-0,0,blk.0,ffn_down,CPU
Q4_0_CPU,Q4_0,CPU,33,RMS_NORM,norm,CPU,,,ffn_out-0,,norm,norm,CPU
Q4_0_CPU,Q4_0,CPU,34,MUL,ffn_post_norm,CPU,,,norm;blk.0.post_ffw_norm.,,ffn_post_norm,norm,CPU
Q4_0_CPU,Q4_0,CPU,35,ADD,l_out-0,CPU,,,ffn_post_norm;ffn_inp-0,0,blk.0,other,CPU
Q4_0_CPU,Q4_0,CPU,36,MUL_MAT,Qcur-1,CPU,blk.1.attn_q.weight,CPU,blk.1.attn_q.weight;l_out-0,1,blk.1,attn_q,CPU
Q4_0_CPU,Q4_0,CPU,38,RMS_NORM,norm-1,CPU,,,Qcur-1,1,blk.1,norm,CPU
Q4_0_CPU,Q4_0,CPU,39,MUL,Qcur_normed-1,CPU,,,norm-1;blk.1.attn_q_norm.we,1,blk.1,attn_q,CPU
Q4_0_CPU,Q4_0,CPU,40,ROPE,Qcur-1,CPU,rope_freqs.weight,CPU,Qcur_normed-1;leaf_5;rope_freqs.weight,,rope_freqs.weight,other,CPU
Q4_0_CPU,Q4_0,CPU,41,MUL_MAT,Vcur-1,CPU,blk.1.attn_v.weight,CPU,blk.1.attn_v.weight;l_out-0,1,blk.1,attn_v,CPU
Q4_0_CPU,Q4_0,CPU,43,MUL_MAT,Kcur-1,CPU,blk.1.attn_k.weight,CPU,blk.1.attn_k.weight;l_out-0,1,blk.1,attn_k,CPU
Q4_0_CPU,Q4_0,CPU,46,MUL,Kcur_normed-1,CPU,,,norm-1;blk.1.attn_k_norm.we,1,blk.1,attn_k,CPU
Q4_0_CPU,Q4_0,CPU,47,ROPE,Kcur-1,CPU,rope_freqs.weight,CPU,Kcur_normed-1;leaf_5;rope_freqs.weight,,rope_freqs.weight,other,CPU
Q4_0_CPU,Q4_0,CPU,58,FLASH_ATTN,__fattn__-1,CPU,,,(permu;(p;(p;attn_inp_kq_mask,1,blk.1,other,CPU
Q4_0_CPU,Q4_0,CPU,60,MUL_MAT,attn_out-1,CPU,,,blk.1.attn_output.we;kqv_out-1,1,blk.1,attn_output,CPU
Q4_0_CPU,Q4_0,CPU,62,MUL,attn_post_norm-1,CPU,,,norm-1;blk.1.post_attention,1,blk.1,norm,CPU
Q4_0_CPU,Q4_0,CPU,63,ADD,ffn_inp-1,CPU,,,attn_post_norm-1;l_out-0,1,blk.1,other,CPU
Q4_0_CPU,Q4_0,CPU,64,MUL_MAT,ffn_gate-1,CPU,,,blk.1.ffn_gate.weigh;ffn_inp-1,1,blk.1,ffn_gate,CPU
Q4_0_CPU,Q4_0,CPU,65,MUL_MAT,ffn_up-1,CPU,blk.1.ffn_up.weight,CPU,blk.1.ffn_up.weight;ffn_inp-1,1,blk.1,ffn_up,CPU
Q4_0_CPU,Q4_0,CPU,66,SWIGLU,ffn_swiglu-1,CPU,,,ffn_gate-1;ffn_up-1,1,blk.1,ffn_down,CPU
Q4_0_CPU,Q4_0,CPU,67,MUL_MAT,ffn_out-1,CPU,,,blk.1.ffn_down.weigh;ffn_swiglu-1,1,blk.1,ffn_down,CPU
Q4_0_CPU,Q4_0,CPU,70,ADD,l_out-1,CPU,,,ffn_post_norm;ffn_inp-1,1,blk.1,other,CPU
Q4_0_CPU,Q4_0,CPU,71,MUL_MAT,Qcur-2,CPU,blk.2.attn_q.weight,CPU,blk.2.attn_q.weight;l_out-1,2,blk.2,attn_q,CPU
Q4_0_CPU,Q4_0,CPU,73,RMS_NORM,norm-2,CPU,,,Qcur-2,2,blk.2,norm,CPU
Q4_0_CPU,Q4_0,CPU,74,MUL,Qcur_normed-2,CPU,,,norm-2;blk.2.attn_q_norm.we,2,blk.2,attn_q,CPU
Q4_0_CPU,Q4_0,CPU,75,ROPE,Qcur-2,CPU,rope_freqs.weight,CPU,Qcur_normed-2;leaf_5;rope_freqs.weight,,rope_freqs.weight,other,CPU
Q4_0_CPU,Q4_0,CPU,76,MUL_MAT,Vcur-2,CPU,blk.2.attn_v.weight,CPU,blk.2.attn_v.weight;l_out-1,2,blk.2,attn_v,CPU
Q4_0_CPU,Q4_0,CPU,78,MUL_MAT,Kcur-2,CPU,blk.2.attn_k.weight,CPU,blk.2.attn_k.weight;l_out-1,2,blk.2,attn_k,CPU
Q4_0_CPU,Q4_0,CPU,81,MUL,Kcur_normed-2,CPU,,,norm-2;blk.2.attn_k_norm.we,2,blk.2,attn_k,CPU
Q4_0_CPU,Q4_0,CPU,82,ROPE,Kcur-2,CPU,rope_freqs.weight,CPU,Kcur_normed-2;leaf_5;rope_freqs.weight,,rope_freqs.weight,other,CPU
Q4_0_CPU,Q4_0,CPU,93,FLASH_ATTN,__fattn__-2,CPU,,,(permu;(p;(p;attn_inp_kq_mask,2,blk.2,other,CPU
Q4_0_CPU,Q4_0,CPU,95,MUL_MAT,attn_out-2,CPU,,,blk.2.attn_output.we;kqv_out-2,2,blk.2,attn_output,CPU
