quantization,execution_mode,backend,op_type,count,median_us,p90_us,min_us,max_us,note
Q4_0,HTP0,HTP0,MUL_MAT+MUL_MAT+MUL_MAT,1920,90,97,78,125,HTP DSP per-op (HEXAGON_PROFILE=1)
Q4_0,HTP0,HTP0,RMS_NORM+MUL,7983,4,8,2,547,HTP DSP per-op (HEXAGON_PROFILE=1)
Q4_0,HTP0,HTP0,ROPE,3960,14,15,6,715,HTP DSP per-op (HEXAGON_PROFILE=1)
Q4_0,HTP0,HTP0,SET_ROWS,3960,8,9,4,120,HTP DSP per-op (HEXAGON_PROFILE=1)
Q4_0,HTP0,HTP0,FLASH_ATTN_EXT,1980,264,339,247,7378,HTP DSP per-op (HEXAGON_PROFILE=1)
Q4_0,HTP0,HTP0,MUL_MAT,4255,99,124,51,844,HTP DSP per-op (HEXAGON_PROFILE=1)
Q4_0,HTP0,HTP0,ADD,3958,5,6,2,240,HTP DSP per-op (HEXAGON_PROFILE=1)
Q4_0,HTP0,HTP0,MUL_MAT+MUL_MAT,1921,222,233,186,285,HTP DSP per-op (HEXAGON_PROFILE=1)
Q4_0,HTP0,HTP0,SWIGLU,1979,11,11,10,729,HTP DSP per-op (HEXAGON_PROFILE=1)
Q4_0,HTP0,HTP0,GET_ROWS,130,3,4,1,8,HTP DSP per-op (HEXAGON_PROFILE=1)
Q4_0,HTP0,HTP0,__batch_0,483,29771,,,28063,HTP batch dur / htp-ops-usec
Q4_0,HTP0,HTP0,__batch_1,562,439557,,,435011,HTP batch dur / htp-ops-usec
Q4_0,HTP0,HTP0,__batch_2,572,227269,,,225246,HTP batch dur / htp-ops-usec
Q4_0,HTP0,HTP0,__batch_3,483,25108,,,24399,HTP batch dur / htp-ops-usec
Q4_0,HTP0,HTP0,__batch_4,483,26048,,,24281,HTP batch dur / htp-ops-usec
Q8_0,HTP0,HTP0,MUL_MAT+MUL_MAT+MUL_MAT,390,160,168,135,186,HTP DSP per-op (HEXAGON_PROFILE=1)
Q8_0,HTP0,HTP0,RMS_NORM+MUL,1812,5,94,2,553,HTP DSP per-op (HEXAGON_PROFILE=1)
Q8_0,HTP0,HTP0,ROPE,900,15,290,6,726,HTP DSP per-op (HEXAGON_PROFILE=1)
Q8_0,HTP0,HTP0,SET_ROWS,900,8,46,4,126,HTP DSP per-op (HEXAGON_PROFILE=1)
Q8_0,HTP0,HTP0,FLASH_ATTN_EXT,450,277,4009,252,7553,HTP DSP per-op (HEXAGON_PROFILE=1)
Q8_0,HTP0,HTP0,MUL_MAT,1195,200,491,88,887,HTP DSP per-op (HEXAGON_PROFILE=1)
Q8_0,HTP0,HTP0,ADD,898,5,102,2,235,HTP DSP per-op (HEXAGON_PROFILE=1)
Q8_0,HTP0,HTP0,MUL_MAT+MUL_MAT,391,401,418,337,460,HTP DSP per-op (HEXAGON_PROFILE=1)
Q8_0,HTP0,HTP0,SWIGLU,449,11,324,10,723,HTP DSP per-op (HEXAGON_PROFILE=1)
Q8_0,HTP0,HTP0,GET_ROWS,28,3,4,1,6,HTP DSP per-op (HEXAGON_PROFILE=1)
Q8_0,HTP0,HTP0,__batch_0,483,38725,,,37867,HTP batch dur / htp-ops-usec
Q8_0,HTP0,HTP0,__batch_1,562,451216,,,449873,HTP batch dur / htp-ops-usec
Q8_0,HTP0,HTP0,__batch_2,572,233094,,,231742,HTP batch dur / htp-ops-usec
Q8_0,HTP0,HTP0,__batch_3,483,37088,,,36406,HTP batch dur / htp-ops-usec
Q8_0,HTP0,HTP0,__batch_4,483,37109,,,36413,HTP batch dur / htp-ops-usec
