tensor_name,layer_index,tensor_role,shape,q4_k_pure_type,q4_k_s_type,q4_k_m_type,pure_vs_s_changed,s_vs_m_changed,pure_vs_m_changed
output_norm.weight,,norm,2048,F32,F32,F32,0,0,0
rope_freqs.weight,,other,32,F32,F32,F32,0,0,0
token_embd.weight,,token_embd,2048x65536,Q4_K,Q6_K,Q6_K,1,0,1
blk.0.attn_k.weight,0,attn_k,2048x512,Q4_K,Q4_K,Q4_K,0,0,0
blk.0.attn_k_norm.weight,0,norm,64,F32,F32,F32,0,0,0
blk.0.attn_output.weight,0,attn_output,2048x2048,Q4_K,Q4_K,Q4_K,0,0,0
blk.0.attn_q.weight,0,attn_q,2048x2048,Q4_K,Q4_K,Q4_K,0,0,0
blk.0.attn_q_norm.weight,0,norm,64,F32,F32,F32,0,0,0
blk.0.attn_v.weight,0,attn_v,2048x512,Q4_K,Q5_K,Q6_K,1,1,1
blk.0.ffn_down.weight,0,ffn_down,4096x2048,Q4_K,Q5_K,Q6_K,1,1,1
blk.0.ffn_gate.weight,0,ffn_gate,2048x4096,Q4_K,Q4_K,Q4_K,0,0,0
blk.0.ffn_up.weight,0,ffn_up,2048x4096,Q4_K,Q4_K,Q4_K,0,0,0
blk.0.post_attention_norm.weight,0,norm,2048,F32,F32,F32,0,0,0
blk.0.post_ffw_norm.weight,0,norm,2048,F32,F32,F32,0,0,0
blk.1.attn_k.weight,1,attn_k,2048x512,Q4_K,Q4_K,Q4_K,0,0,0
blk.1.attn_k_norm.weight,1,norm,64,F32,F32,F32,0,0,0
blk.1.attn_output.weight,1,attn_output,2048x2048,Q4_K,Q4_K,Q4_K,0,0,0
blk.1.attn_q.weight,1,attn_q,2048x2048,Q4_K,Q4_K,Q4_K,0,0,0
blk.1.attn_q_norm.weight,1,norm,64,F32,F32,F32,0,0,0
blk.1.attn_v.weight,1,attn_v,2048x512,Q4_K,Q5_K,Q6_K,1,1,1
blk.1.ffn_down.weight,1,ffn_down,4096x2048,Q4_K,Q5_K,Q6_K,1,1,1
blk.1.ffn_gate.weight,1,ffn_gate,2048x4096,Q4_K,Q4_K,Q4_K,0,0,0
blk.1.ffn_up.weight,1,ffn_up,2048x4096,Q4_K,Q4_K,Q4_K,0,0,0
blk.1.post_attention_norm.weight,1,norm,2048,F32,F32,F32,0,0,0
blk.1.post_ffw_norm.weight,1,norm,2048,F32,F32,F32,0,0,0
blk.2.attn_k.weight,2,attn_k,2048x512,Q4_K,Q4_K,Q4_K,0,0,0
blk.2.attn_k_norm.weight,2,norm,64,F32,F32,F32,0,0,0
blk.2.attn_output.weight,2,attn_output,2048x2048,Q4_K,Q4_K,Q4_K,0,0,0
blk.2.attn_q.weight,2,attn_q,2048x2048,Q4_K,Q4_K,Q4_K,0,0,0
blk.2.attn_q_norm.weight,2,norm,64,F32,F32,F32,0,0,0
blk.2.attn_v.weight,2,attn_v,2048x512,Q4_K,Q5_K,Q6_K,1,1,1
blk.2.ffn_down.weight,2,ffn_down,4096x2048,Q4_K,Q5_K,Q6_K,1,1,1
blk.2.ffn_gate.weight,2,ffn_gate,2048x4096,Q4_K,Q4_K,Q4_K,0,0,0
blk.2.ffn_up.weight,2,ffn_up,2048x4096,Q4_K,Q4_K,Q4_K,0,0,0
blk.2.post_attention_norm.weight,2,norm,2048,F32,F32,F32,0,0,0
blk.2.post_ffw_norm.weight,2,norm,2048,F32,F32,F32,0,0,0
blk.3.attn_k.weight,3,attn_k,2048x512,Q4_K,Q4_K,Q4_K,0,0,0
blk.3.attn_k_norm.weight,3,norm,64,F32,F32,F32,0,0,0
blk.3.attn_output.weight,3,attn_output,2048x2048,Q4_K,Q4_K,Q4_K,0,0,0
blk.3.attn_q.weight,3,attn_q,2048x2048,Q4_K,Q4_K,Q4_K,0,0,0
blk.3.attn_q_norm.weight,3,norm,64,F32,F32,F32,0,0,0
blk.3.attn_v.weight,3,attn_v,2048x512,Q4_K,Q5_K,Q4_K,1,1,0
blk.3.ffn_down.weight,3,ffn_down,4096x2048,Q4_K,Q4_K,Q4_K,0,0,0
blk.3.ffn_gate.weight,3,ffn_gate,2048x4096,Q4_K,Q4_K,Q4_K,0,0,0
blk.3.ffn_up.weight,3,ffn_up,2048x4096,Q4_K,Q4_K,Q4_K,0,0,0
blk.3.post_attention_norm.weight,3,norm,2048,F32,F32,F32,0,0,0
blk.3.post_ffw_norm.weight,3,norm,2048,F32,F32,F32,0,0,0
blk.4.attn_k.weight,4,attn_k,2048x512,Q4_K,Q4_K,Q4_K,0,0,0
blk.4.attn_k_norm.weight,4,norm,64,F32,F32,F32,0,0,0
blk.4.attn_output.weight,4,attn_output,2048x2048,Q4_K,Q4_K,Q4_K,0,0,0
blk.4.attn_q.weight,4,attn_q,2048x2048,Q4_K,Q4_K,Q4_K,0,0,0
blk.4.attn_q_norm.weight,4,norm,64,F32,F32,F32,0,0,0
blk.4.attn_v.weight,4,attn_v,2048x512,Q4_K,Q4_K,Q4_K,0,0,0
blk.4.ffn_down.weight,4,ffn_down,4096x2048,Q4_K,Q4_K,Q4_K,0,0,0
blk.4.ffn_gate.weight,4,ffn_gate,2048x4096,Q4_K,Q4_K,Q4_K,0,0,0
blk.4.ffn_up.weight,4,ffn_up,2048x4096,Q4_K,Q4_K,Q4_K,0,0,0
blk.4.post_attention_norm.weight,4,norm,2048,F32,F32,F32,0,0,0
blk.4.post_ffw_norm.weight,4,norm,2048,F32,F32,F32,0,0,0
blk.5.attn_k.weight,5,attn_k,2048x512,Q4_K,Q4_K,Q4_K,0,0,0
blk.5.attn_k_norm.weight,5,norm,64,F32,F32,F32,0,0,0
blk.5.attn_output.weight,5,attn_output,2048x2048,Q4_K,Q4_K,Q4_K,0,0,0
blk.5.attn_q.weight,5,attn_q,2048x2048,Q4_K,Q4_K,Q4_K,0,0,0
blk.5.attn_q_norm.weight,5,norm,64,F32,F32,F32,0,0,0
blk.5.attn_v.weight,5,attn_v,2048x512,Q4_K,Q4_K,Q6_K,0,1,1
blk.5.ffn_down.weight,5,ffn_down,4096x2048,Q4_K,Q4_K,Q6_K,0,1,1
blk.5.ffn_gate.weight,5,ffn_gate,2048x4096,Q4_K,Q4_K,Q4_K,0,0,0
blk.5.ffn_up.weight,5,ffn_up,2048x4096,Q4_K,Q4_K,Q4_K,0,0,0
blk.5.post_attention_norm.weight,5,norm,2048,F32,F32,F32,0,0,0
blk.5.post_ffw_norm.weight,5,norm,2048,F32,F32,F32,0,0,0
blk.6.attn_k.weight,6,attn_k,2048x512,Q4_K,Q4_K,Q4_K,0,0,0
blk.6.attn_k_norm.weight,6,norm,64,F32,F32,F32,0,0,0
blk.6.attn_output.weight,6,attn_output,2048x2048,Q4_K,Q4_K,Q4_K,0,0,0
blk.6.attn_q.weight,6,attn_q,2048x2048,Q4_K,Q4_K,Q4_K,0,0,0
blk.6.attn_q_norm.weight,6,norm,64,F32,F32,F32,0,0,0
blk.6.attn_v.weight,6,attn_v,2048x512,Q4_K,Q4_K,Q4_K,0,0,0
blk.6.ffn_down.weight,6,ffn_down,4096x2048,Q4_K,Q4_K,Q4_K,0,0,0
blk.6.ffn_gate.weight,6,ffn_gate,2048x4096,Q4_K,Q4_K,Q4_K,0,0,0
blk.6.ffn_up.weight,6,ffn_up,2048x4096,Q4_K,Q4_K,Q4_K,0,0,0
blk.6.post_attention_norm.weight,6,norm,2048,F32,F32,F32,0,0,0
blk.6.post_ffw_norm.weight,6,norm,2048,F32,F32,F32,0,0,0
blk.7.attn_k.weight,7,attn_k,2048x512,Q4_K,Q4_K,Q4_K,0,0,0
blk.7.attn_k_norm.weight,7,norm,64,F32,F32,F32,0,0,0
blk.7.attn_output.weight,7,attn_output,2048x2048,Q4_K,Q4_K,Q4_K,0,0,0
blk.7.attn_q.weight,7,attn_q,2048x2048,Q4_K,Q4_K,Q4_K,0,0,0
blk.7.attn_q_norm.weight,7,norm,64,F32,F32,F32,0,0,0
blk.7.attn_v.weight,7,attn_v,2048x512,Q4_K,Q4_K,Q4_K,0,0,0
