quant,backend,htp_layers,cpu_layers,htp_mib,cpu_mib,ttft_ms,prefill_ms,prefill_tps,decode_ms_per_tok,decode_tps
F16,HTP0,31,0,2296.50,256.00,1542.83,251.95,687.01,87.80,15.53
F16,CPU,0,30,0.00,2296.49,2093.39,1123.99,76.67,47.84,16.56
Q8_0,HTP0,31,0,1084.26,136.00,3267.80,172.91,801.73,64.02,15.70
Q8_0,CPU,0,30,0.00,136.49,1799.75,532.13,206.27,33.28,25.89
Q4_0,HTP0,31,0,574.25,105.00,1722.86,151.44,833.93,56.30,20.07
Q4_0,CPU,0,30,0.00,105.49,1261.37,528.58,180.04,22.62,40.11
Q4_K_S,HTP0,31,0,0.50,105.00,5527.69,825.54,15.59,56.09,19.21
Q4_K_S,CPU,0,30,0.00,105.49,2220.75,804.18,9.81,25.58,33.73
Q4_K_M,HTP0,31,0,0.50,105.00,5389.55,794.06,111.78,61.46,11.72
Q4_K_M,CPU,0,30,0.00,105.49,2809.24,840.41,55.23,27.17,32.13
Q4_K_pure,HTP0,31,0,0.50,72.00,5114.53,794.04,128.23,61.08,19.99
Q4_K_pure,CPU,0,30,0.00,72.49,1981.46,839.49,125.06,22.66,37.32
